#		Time (ns)	RMSD	RMSF	rGyr	SASA
		100.6	7.581		5.446	246.232
		100.8	7.926		5.402	230.92
		101	7.432		5.46	235.972
		101.2	7.868		5.44	234.299
		101.4	7.382		5.326	240.697
		101.6	6.529		5.308	292.937
		101.8	7.489		5.426	294.542
		102	7.576		5.512	254.974
		102.2	7.177		5.457	200.233
		102.4	6.843		5.543	283.298
		102.6	7.831		5.463	235.473
		102.8	8.602		5.476	205.96
		103	7.551		5.378	222.312
		103.2	6.815		5.373	189.447
		103.4	7.269		5.3	212.749
		103.6	7.869		5.388	237.719
		103.8	7.275		5.385	241.197
		104	6.907		5.397	244.823
		104.2	6.818		5.246	230.223
		104.4	7.506		5.362	224.625
		104.6	7.613		5.223	216.524
		104.8	7.604		5.307	218.245
		105	7.803		5.353	217.656
		105.2	6.92		5.374	210.023
		105.4	7.635		5.469	232.034
		105.6	7.457		5.17	230.655
		105.8	7.657		5.242	203.217
		106	7.448		5.357	207.584
		106.2	7.463		5.182	237.338
		106.4	6.796		5.308	217.682
		106.6	6.508		5.444	244.901
		106.8	7.027		5.427	233.349
		107	7.388		5.223	232.692
		107.2	6.989		5.557	269.485
		107.4	7.382		5.316	280.882
		107.6	6.767		5.381	246.845
		107.8	7.432		5.523	282.178
		108	7.459		5.278	184.301
		108.2	7.897		5.402	228.855
		108.4	6.856		5.201	244.03
		108.6	8.253		5.353	243.641
		108.8	7.675		5.429	232.619
		109	7.631		5.36	233.291
		109.2	7.178		5.217	230.024
		109.4	8.004		5.365	196.038
		109.6	7.821		5.394	192.326
		109.8	8.633		5.436	246.847
		110	6.948		5.506	243.367
		110.2	7.629		5.413	205.796
		110.4	7.432		5.498	244.673
		110.6	7.613		5.455	226.487
		110.8	7.742		5.179	218.251
		111	7.371		5.31	243.352
		111.2	7.626		5.424	217.642
		111.4	7.586		5.307	229.566
		111.6	7.518		5.338	237.621
