Ligand,Mode,Vina_Affinity,CNN_Pose_Confidence,CNN_pKd
candidate_146,6,-6.53,0.8315,7.133
candidate_146,7,6.6,0.7759,6.804
candidate_146,8,3.39,0.6955,7.228
candidate_146,9,6.42,0.634,6.894
candidate_147,1,-7.23,0.9773,7.898
candidate_147,2,-7.6,0.9316,7.589
candidate_147,3,-6.84,0.9203,7.558
candidate_147,4,-6.67,0.8566,7.584
candidate_147,5,-6.41,0.8277,7.537
candidate_147,6,-6.66,0.8113,7.521
candidate_147,7,-6.84,0.8068,7.346
candidate_147,8,-7.16,0.7951,7.463
candidate_147,9,-7.22,0.7909,7.211
candidate_148,1,-7.44,0.9636,7.498
candidate_148,2,-7.75,0.96,7.45
candidate_148,3,-7.47,0.952,7.626
candidate_148,4,-8.24,0.942,7.421
candidate_148,5,-8.1,0.9402,7.553
candidate_148,6,-6.7,0.8872,7.293
candidate_148,7,-7.59,0.8654,6.856
candidate_148,8,-7.64,0.8324,7.151
candidate_148,9,-7.11,0.8281,6.808
candidate_149,1,-7.77,0.8434,7.545
candidate_149,2,-7.53,0.7431,7.405
candidate_149,3,-7.59,0.7064,7.091
candidate_149,4,-7.12,0.6505,6.904
candidate_149,5,-7.81,0.6158,7.041
candidate_149,6,-7.92,0.5705,6.869
candidate_149,7,0.57,0.5655,6.479
candidate_149,8,-7.24,0.5655,6.906
candidate_149,9,12.47,0.5573,6.555
candidate_15,1,-7.49,0.9683,7.697
candidate_15,2,-6.85,0.9559,7.517
candidate_15,3,-6.99,0.9243,7.476
candidate_15,4,-6.78,0.9207,7.321
candidate_15,5,-1.43,0.8516,4.774
candidate_15,6,-7.22,0.8017,7.25
candidate_15,7,1.43,0.7639,7.22
candidate_15,8,23.61,0.6448,6.419
candidate_15,9,-8.03,0.6187,6.613
candidate_150,1,-6.81,0.8678,7.046
candidate_150,2,-6.37,0.848,6.976
candidate_150,3,-7.0,0.8329,6.563
candidate_150,4,-7.17,0.8182,6.444
candidate_150,5,-7.02,0.8009,6.594
candidate_150,6,-6.28,0.6902,6.976
candidate_150,7,-6.38,0.6858,6.822
candidate_150,8,16.29,0.6786,6.643
candidate_150,9,-7.56,0.6563,6.417
candidate_151,1,-7.07,0.9273,7.025
candidate_151,2,-7.61,0.9258,7.121
candidate_151,3,-7.82,0.8974,7.114
candidate_151,4,-7.55,0.8935,6.917
candidate_151,5,-7.28,0.8874,7.118
candidate_151,6,-6.63,0.8738,6.998
candidate_151,7,-6.77,0.8605,7.012
candidate_151,8,-7.08,0.791,7.063
candidate_151,9,-7.46,0.7847,6.903
candidate_152,1,-7.57,0.8719,7.218
candidate_152,2,-6.85,0.7987,6.718
candidate_152,3,-6.55,0.6699,6.788
candidate_152,4,20.15,0.5602,6.316
candidate_152,5,-7.22,0.3452,6.51
candidate_152,6,-7.07,0.3397,6.271
candidate_152,7,-6.76,0.3231,6.594
candidate_152,8,-6.47,0.2626,6.255
candidate_152,9,-6.85,0.2505,6.297
candidate_153,1,-7.8,0.8963,6.948
candidate_153,2,-7.18,0.7635,6.986
candidate_153,3,-7.64,0.7486,6.743
candidate_153,4,-7.08,0.7443,6.659
candidate_153,5,-7.38,0.736,6.603
candidate_153,6,-7.2,0.6367,6.856
candidate_153,7,-6.99,0.5948,6.696
candidate_153,8,-0.28,0.564,6.158
candidate_153,9,7.25,0.4977,6.237
candidate_154,1,-7.74,0.9343,6.895
candidate_154,2,-7.3,0.9314,6.773
candidate_154,3,-7.7,0.8005,6.547
candidate_154,4,-7.44,0.7696,6.728
candidate_154,5,16.36,0.766,6.527
candidate_154,6,-7.37,0.6873,6.521
candidate_154,7,11.44,0.6457,5.784
candidate_154,8,15.08,0.6311,5.793
candidate_154,9,9.96,0.6147,6.252
candidate_155,1,-7.56,0.8046,7.154
candidate_155,2,-7.78,0.7999,7.057
candidate_155,3,-7.53,0.7717,6.668
candidate_155,4,-7.92,0.7438,6.791
candidate_155,5,-7.01,0.5713,6.661
candidate_155,6,19.02,0.5426,6.367
candidate_155,7,-8.01,0.5349,6.47
candidate_155,8,-6.46,0.5266,6.775
candidate_155,9,2.3,0.4951,6.525
candidate_156,1,-5.95,0.859,7.193
candidate_156,2,-6.57,0.7232,6.928
candidate_156,3,10.13,0.697,6.793
candidate_156,4,-5.62,0.6743,6.978
candidate_156,5,-7.16,0.6003,7.015
candidate_156,6,16.51,0.5886,6.72
candidate_156,7,-7.37,0.587,6.805
candidate_156,8,13.75,0.5537,6.092
